Length,Base_Prime,Primitive_Root,Shift,Initial_PSL,Optimized_PSL,Improvement
870,877,341,217,70,62,8
889,907,105,222,75,65,10
890,907,507,222,70,66,4
891,907,539,222,73,63,10
930,937,651,232,74,66,8
931,937,845,232,67,67,0
932,937,491,233,76,68,8
1016,1019,663,254,76,72,4
1017,1019,697,254,79,75,4
1020,1021,655,255,80,72,8
1021,1021,65,255,63,63,0
1022,1031,601,255,78,74,4
1023,1031,263,255,77,65,12
1024,1031,91,256,76,76,0
1025,1031,797,256,79,77,2
1302,1303,775,325,78,74,4
1303,1303,465,325,27,27,0
1524,1531,51,381,104,88,16
1525,1531,581,381,99,95,4
1533,1543,917,383,101,87,14
1534,1543,917,383,106,98,8
1778,1783,1611,444,106,98,8
1779,1783,539,444,107,107,0
1785,1787,1739,446,105,93,12
1786,1787,1175,446,110,110,0
1860,1861,371,465,116,104,12
1861,1861,930,465,3,3,0
1905,1907,317,476,115,109,6
1906,1907,265,476,118,110,8
1953,1973,986,488,107,91,16
1954,1973,986,488,106,98,8
2044,2053,1026,511,116,96,20
2045,2053,135,511,113,101,12
2046,2053,1995,511,118,110,8
2047,2053,801,511,115,115,0
2048,2053,135,512,116,104,12
