Length,Base_Prime,Primitive_Root,Shift,Initial_PSL,Optimized_PSL,Improvement
142,149,79,35,22,10,12
143,149,79,35,25,11,14
146,149,55,36,22,10,12
147,149,55,36,21,11,10
148,149,3,37,24,12,12
155,157,69,38,23,13,10
156,157,43,39,24,12,12
157,157,15,39,23,11,12
158,163,137,39,22,10,12
168,173,45,42,20,12,8
169,173,45,42,23,13,10
170,173,45,42,26,10,16
171,173,69,42,25,13,12
172,173,27,43,28,12,16
186,191,123,46,26,14,12
187,191,83,46,27,13,14
188,191,33,47,24,12,12
189,191,101,47,27,13,14
190,191,57,47,26,14,12
204,211,75,51,24,12,12
205,211,141,51,29,15,14
206,211,133,51,26,14,12
210,211,3,52,30,14,16
211,211,75,52,11,11,0
212,223,71,53,32,16,16
213,223,185,53,23,15,8
214,223,185,53,18,14,4
217,223,185,54,23,13,10
218,223,61,54,26,14,12
219,223,185,54,25,15,10
220,223,113,55,28,12,16
221,223,113,55,27,13,14
248,251,43,62,32,16,16
249,251,97,62,35,15,20
250,251,61,62,34,18,16
251,251,165,62,27,15,12
252,257,37,63,32,16,16
253,257,219,63,33,15,18
254,257,97,63,30,18,12
255,257,51,63,35,15,20
256,257,96,64,32,16,16
257,257,96,64,3,3,0
258,263,5,64,34,14,20
259,263,55,64,31,17,14
292,293,3,73,36,16,20
293,293,146,73,3,3,0
310,311,153,77,34,18,16
311,311,93,77,27,17,10
312,313,207,78,36,16,20
315,317,13,78,37,17,20
316,317,158,79,32,16,16
317,317,158,79,3,3,0
340,347,19,85,36,16,20
341,347,21,85,39,19,20
342,347,21,85,38,18,20
343,347,17,85,41,19,22
357,359,67,89,39,19,20
358,359,117,89,42,22,20
372,373,151,93,44,20,24
373,373,186,93,3,3,0
374,379,2,93,46,18,28
375,379,359,93,45,21,24
381,383,159,95,41,19,22
382,383,83,95,46,22,24
383,383,381,95,35,21,14
384,389,194,96,44,16,28
420,421,145,105,44,20,24
421,421,210,105,3,3,0
422,431,43,105,46,22,24
423,431,237,105,45,21,24
434,439,155,108,46,18,28
435,439,85,108,45,19,26
436,439,279,109,44,20,24
437,439,369,109,47,19,28
465,467,73,116,49,23,26
466,467,111,116,46,22,24
467,467,2,116,41,21,20
468,479,113,117,48,20,28
504,509,433,126,48,20,28
505,509,273,126,49,23,26
506,509,53,126,54,22,32
508,509,477,127,52,24,28
509,509,254,127,3,3,0
510,521,95,127,54,22,32
511,521,203,127,53,23,30
512,521,85,128,52,24,28
513,521,139,128,55,23,32
514,521,95,128,50,22,28
595,599,23,148,53,23,30
596,599,157,149,56,24,32
620,631,495,155,48,24,24
621,631,75,155,57,25,32
630,631,185,157,58,26,32
631,631,585,157,33,23,10
635,641,480,158,59,25,34
636,641,237,159,56,24,32
651,653,615,162,57,25,32
652,653,326,163,56,24,32
653,653,326,163,3,3,0
682,683,279,170,54,26,28
683,683,279,170,27,25,2
744,751,645,186,60,28,32
745,751,539,186,69,29,40
762,769,297,190,70,26,44
763,769,681,190,65,27,38
764,769,249,191,68,28,40
819,821,61,204,69,29,40
820,821,17,205,72,32,40
840,853,17,210,72,28,44
841,853,519,210,71,29,42
868,877,99,217,76,28,48
869,877,339,217,73,33,40
870,877,341,217,70,30,40
889,907,105,222,75,29,46
890,907,507,222,70,30,40
891,907,539,222,73,31,42
930,937,651,232,74,30,44
931,937,845,232,67,31,36
932,937,491,233,76,28,48
1016,1019,663,254,76,32,44
1017,1019,697,254,79,31,48
1020,1021,655,255,80,32,48
1021,1021,65,255,63,31,32
1022,1031,601,255,78,30,48
1023,1031,263,255,77,35,42
1024,1031,91,256,76,32,44
1025,1031,797,256,79,31,48
1302,1303,775,325,78,38,40
1303,1303,465,325,27,27,0
1524,1531,51,381,104,40,64
1525,1531,581,381,99,39,60
1533,1543,917,383,101,41,60
1534,1543,917,383,106,38,68
1778,1783,1611,444,106,46,60
1779,1783,539,444,107,43,64
1785,1787,1739,446,105,43,62
1786,1787,1175,446,110,42,68
1860,1861,371,465,116,44,72
1861,1861,930,465,3,3,0
1905,1907,317,476,115,45,70
1906,1907,265,476,118,42,76
1953,1973,986,488,107,49,58
1954,1973,986,488,106,46,60
2044,2053,1026,511,116,44,72
2045,2053,135,511,113,45,68
2046,2053,1995,511,118,46,72
2047,2053,801,511,115,47,68
2048,2053,135,512,116,48,68
