Length,Base_Prime,Initial_PSL,Optimized_PSL,Improvement
2,2,0,0,0
3,3,1,1,0
4,5,4,0,4
5,5,3,1,2
6,7,2,2,0
7,7,1,1,0
8,11,4,4,0
9,11,3,3,0
10,11,6,2,4
11,11,1,1,0
12,13,4,4,0
13,13,3,3,0
14,17,6,2,4
15,17,5,3,2
16,17,8,4,4
17,17,3,3,0
18,19,6,2,4
19,19,1,1,0
20,23,4,4,0
21,23,5,5,0
22,23,10,6,4
23,23,1,1,0
24,29,8,4,4
25,29,7,5,2
26,29,10,6,4
28,29,12,4,8
29,29,3,3,0
30,31,10,6,4
31,31,1,1,0
32,37,12,4,8
33,37,11,7,4
34,37,6,6,0
35,37,11,5,6
36,37,12,4,8
42,43,14,6,8
43,43,1,1,0
44,47,12,8,4
56,59,12,8,4
57,59,11,7,4
60,61,16,8,8
61,61,3,3,0
62,67,14,10,4
63,67,15,5,10
64,67,16,8,8
65,67,15,9,6
84,89,20,8,12
85,89,19,9,10
93,97,21,9,12
94,97,18,10,8
105,107,25,11,14
106,107,26,10,16
124,127,24,8,16
125,127,21,11,10
126,127,26,10,16
127,127,1,1,0
128,131,28,12,16
